Province Code,District Code,District Name,Number of Establishments(establishments),Number of Persons Engaged,,
  -,  -,  -,  -,Total (persons),Male (persons),Female (persons)
1,1,Taplejung,4650,11573,6699,4874
1,2,Sankhuwasabha,6038,19227,10850,8377
1,3,Solukhumbu,3508,19134,9706,9428
1,4,Okhaldhunga,4346,22031,10290,11741
1,5,Khotang,4308,11314,6645,4669
1,6,Bhojpur,4074,10362,5878,4484
1,7,Dhankuta,5997,15820,8685,7135
1,8,Terhathum,3412,8955,5045,3910
1,9,Panchthar,5437,13534,7661,5873
1,10,Ilam,9661,26804,15113,11691
1,11,Jhapa,38789,116837,68890,47947
1,12,Morang,35247,127887,83275,44612
1,13,Sunsari,31536,112708,69021,43687
1,14,Udayapur,11515,27893,16279,11614
2,1,Saptari,16295,42252,28598,13654
2,2,Siraha,13137,40513,29101,11412
2,3,Dhanusa,17965,56475,43273,13202
2,4,Mahottari,14049,36998,28161,8837
2,5,Sarlahi,15260,38657,27931,10726
2,6,Rautahat,12790,41265,32117,9148
2,7,Bara,12449,48724,38279,10445
2,8,Parsa,15725,50110,40819,9291
3,1,Dolakha,6758,22331,13122,9209
3,2,Sindhupalchok,9076,32949,17726,15223
3,3,Rasuwa,1372,4174,2420,1754
3,4,Dhading,12051,55521,29639,25882
3,5,Nuwakot,8794,30129,18073,12056
3,6,Kathmandu,125047,590002,362162,227840
3,7,Bhaktapur,19631,86296,49901,36395
3,8,Lalitpur,27009,134408,81507,52901
3,9,Kavrepalanchok,14282,54575,32650,21925
3,10,Ramechhap,5621,22818,12273,10545
3,11,Sindhuli,8001,34085,19779,14306
3,12,Makwanpur,16041,46582,29014,17568
3,13,Chitawan,29237,104627,63517,41110
4,1,Gorkha,10972,30423,16831,13592
4,2,Manang,487,1695,979,716
4,3,Mustang,775,3106,1777,1329
4,4,Myagdi,5063,16652,8498,8154
4,5,Kaski,30745,111818,65901,45917
4,6,Lamjung,6411,29395,15353,14042
4,7,Tanahu,12433,36686,19652,17034
4,8,Nawalparasi East,12745,38396,22053,16343
4,9,Syangja,7410,20946,11019,9927
4,10,Parbat,4720,12983,7182,5801
4,11,Baglung,8923,30372,16155,14217
5,1,Rukum East,1020,2602,1463,1139
5,2,Rolpa,5094,15456,7566,7890
5,3,Pyuthan,5606,21373,11938,9435
5,4,Gulmi,9548,22876,13071,9805
5,5,Arghakhanchi,6619,14613,8768,5845
5,6,Palpa,8701,24902,14088,10814
5,7,Nawalparasi West,11208,43866,26774,17092
5,8,Rupandehi,38403,134772,94357,40415
5,9,Kapilbastu,13607,40610,30742,9868
5,10,Dang,14421,47598,28847,18751
5,11,Banke,18666,64882,44333,20549
5,12,Bardiya,14896,40714,24945,15769
6,1,Dolpa,860,3225,1982,1243
6,2,Mugu,1782,5849,2957,2892
6,3,Humla,2016,5739,3752,1987
6,4,Jumla,3078,8463,5235,3228
6,5,Kalikot,3535,9200,5957,3243
6,6,Dailekh,6308,14874,8967,5907
6,7,Jajarkot,3316,8494,5326,3168
6,8,Rukum West,3994,10180,6103,4077
6,9,Salyan,6098,17019,9829,7190
6,10,Surkhet,11820,35908,20706,15202
7,1,Bajura,3891,8859,5905,2954
7,2,Bajhang,6219,15446,10363,5083
7,3,Darchula,3413,10837,7354,3483
7,4,Baitadi,4395,12268,8858,3410
7,5,Dadeldhura,4054,11469,7938,3531
7,6,Doti,3667,9826,6571,3255
7,7,Achham,4284,13680,9494,4186
7,8,Kailali,21544,66753,43501,23252
7,9,Kanchanpur,11501,36062,25048,11014
