Province Code,District Code,District Name,Total(establishments),Male,Female,Not applicable ,Total(%),Male,Female,Not applicable 
1,1,Taplejung,4650,2065,1139,1446,0.5,0.22,0.12,0.16
1,2,Sankhuwasabha,6038,2675,1833,1530,0.65,0.29,0.2,0.17
1,3,Solukhumbu,3508,1934,1097,477,0.38,0.21,0.12,0.05
1,4,Okhaldhunga,4346,2291,1150,905,0.47,0.25,0.12,0.1
1,5,Khotang,4308,2049,993,1266,0.47,0.22,0.11,0.14
1,6,Bhojpur,4074,1625,1036,1413,0.44,0.18,0.11,0.15
1,7,Dhankuta,5997,2737,2070,1190,0.65,0.3,0.22,0.13
1,8,Terhathum,3412,1423,1113,876,0.37,0.15,0.12,0.09
1,9,Panchthar,5437,2650,1679,1108,0.59,0.29,0.18,0.12
1,10,Ilam,9661,4792,3647,1222,1.05,0.52,0.39,0.13
1,11,Jhapa,38789,22822,13913,2054,4.2,2.47,1.51,0.22
1,12,Morang,35247,22371,11189,1687,3.82,2.42,1.21,0.18
1,13,Sunsari,31536,19572,10328,1636,3.42,2.12,1.12,0.18
1,14,Udayapur,11515,5866,3715,1934,1.25,0.64,0.4,0.21
2,1,Saptari,16295,12479,2320,1496,1.76,1.35,0.25,0.16
2,2,Siraha,13137,10762,1782,593,1.42,1.17,0.19,0.06
2,3,Dhanusa,17965,15045,2157,763,1.95,1.63,0.23,0.08
2,4,Mahottari,14049,11490,2148,411,1.52,1.24,0.23,0.04
2,5,Sarlahi,15260,12493,2210,557,1.65,1.35,0.24,0.06
2,6,Rautahat,12790,10743,1411,636,1.39,1.16,0.15,0.07
2,7,Bara,12449,10308,1448,693,1.35,1.12,0.16,0.08
2,8,Parsa,15725,13725,1221,779,1.7,1.49,0.13,0.08
3,1,Dolakha,6758,3102,1801,1855,0.73,0.34,0.2,0.2
3,2,Sindhupalchok,9076,4748,2181,2147,0.98,0.51,0.24,0.23
3,3,Rasuwa,1372,702,451,219,0.15,0.08,0.05,0.02
3,4,Dhading,12051,6399,3443,2209,1.31,0.69,0.37,0.24
3,5,Nuwakot,8794,4829,2054,1911,0.95,0.52,0.22,0.21
3,6,Kathmandu,125047,80494,40723,3830,13.54,8.72,4.41,0.41
3,7,Bhaktapur,19631,12008,6257,1366,2.13,1.3,0.68,0.15
3,8,Lalitpur,27009,16869,8708,1432,2.93,1.83,0.94,0.16
3,9,Kavrepalanchok,14282,8372,3470,2440,1.55,0.91,0.38,0.26
3,10,Ramechhap,5621,2779,1117,1725,0.61,0.3,0.12,0.19
3,11,Sindhuli,8001,4168,1861,1972,0.87,0.45,0.2,0.21
3,12,Makwanpur,16041,8722,5510,1809,1.74,0.94,0.6,0.2
